Individual ID	Gender	Population	SuperPop
HG01583	male	PJL	SAS
HG01586	male	PJL	SAS
HG01589	male	PJL	SAS
HG01590	female	PJL	SAS
HG01593	female	PJL	SAS
HG01594	male	PJL	SAS
HG02490	male	PJL	SAS
HG02491	female	PJL	SAS
HG02492	male	PJL	SAS
HG02493	male	PJL	SAS
HG02494	female	PJL	SAS
HG02495	female	PJL	SAS
HG02597	male	PJL	SAS
HG02599	male	PJL	SAS
HG02600	male	PJL	SAS
HG02601	female	PJL	SAS
HG02602	male	PJL	SAS
HG02603	male	PJL	SAS
HG02604	female	PJL	SAS
HG02605	female	PJL	SAS
HG02648	male	PJL	SAS
HG02649	female	PJL	SAS
HG02650	male	PJL	SAS
HG02651	male	PJL	SAS
HG02652	female	PJL	SAS
HG02653	female	PJL	SAS
HG02654	male	PJL	SAS
HG02655	female	PJL	SAS
HG02656	male	PJL	SAS
HG02657	male	PJL	SAS
HG02658	female	PJL	SAS
HG02659	female	PJL	SAS
HG02660	male	PJL	SAS
HG02661	female	PJL	SAS
HG02662	female	PJL	SAS
HG02681	male	PJL	SAS
HG02682	female	PJL	SAS
HG02683	female	PJL	SAS
HG02684	male	PJL	SAS
HG02685	female	PJL	SAS
HG02686	male	PJL	SAS
HG02687	male	PJL	SAS
HG02688	female	PJL	SAS
HG02689	male	PJL	SAS
HG02690	male	PJL	SAS
HG02691	female	PJL	SAS
HG02692	female	PJL	SAS
HG02694	female	PJL	SAS
HG02696	male	PJL	SAS
HG02697	female	PJL	SAS
HG02698	male	PJL	SAS
HG02699	male	PJL	SAS
HG02700	female	PJL	SAS
HG02701	male	PJL	SAS
HG02724	male	PJL	SAS
HG02725	female	PJL	SAS
HG02726	female	PJL	SAS
HG02727	male	PJL	SAS
HG02728	female	PJL	SAS
HG02729	male	PJL	SAS
HG02731	female	PJL	SAS
HG02733	male	PJL	SAS
HG02734	female	PJL	SAS
HG02735	male	PJL	SAS
HG02736	male	PJL	SAS
HG02737	female	PJL	SAS
HG02738	male	PJL	SAS
HG02774	male	PJL	SAS
HG02775	female	PJL	SAS
HG02776	female	PJL	SAS
HG02778	female	PJL	SAS
HG02779	male	PJL	SAS
HG02780	male	PJL	SAS
HG02781	female	PJL	SAS
HG02783	male	PJL	SAS
HG02784	female	PJL	SAS
HG02785	female	PJL	SAS
HG02786	male	PJL	SAS
HG02787	female	PJL	SAS
HG02788	female	PJL	SAS
HG02789	male	PJL	SAS
HG02790	female	PJL	SAS
HG02791	male	PJL	SAS
HG02792	male	PJL	SAS
HG02793	female	PJL	SAS
HG02794	male	PJL	SAS
HG03006	male	BEB	SAS
HG03007	female	BEB	SAS
HG03008	male	BEB	SAS
HG03009	male	BEB	SAS
HG03012	male	BEB	SAS
HG03015	male	PJL	SAS
HG03016	female	PJL	SAS
HG03017	male	PJL	SAS
HG03018	male	PJL	SAS
HG03019	female	PJL	SAS
HG03021	male	PJL	SAS
HG03022	female	PJL	SAS
HG03023	male	PJL	SAS
HG03228	male	PJL	SAS
HG03229	female	PJL	SAS
HG03230	female	PJL	SAS
HG03234	male	PJL	SAS
HG03235	female	PJL	SAS
HG03236	female	PJL	SAS
HG03237	male	PJL	SAS
HG03238	female	PJL	SAS
HG03239	female	PJL	SAS
HG03487	male	PJL	SAS
HG03488	female	PJL	SAS
HG03489	male	PJL	SAS
HG03490	male	PJL	SAS
HG03491	female	PJL	SAS
HG03492	male	PJL	SAS
HG03585	male	BEB	SAS
HG03587	female	BEB	SAS
HG03589	female	BEB	SAS
HG03590	male	BEB	SAS
HG03593	male	BEB	SAS
HG03594	male	BEB	SAS
HG03595	female	BEB	SAS
HG03596	male	BEB	SAS
HG03598	female	BEB	SAS
HG03599	female	BEB	SAS
HG03600	male	BEB	SAS
HG03602	male	BEB	SAS
HG03603	male	BEB	SAS
HG03604	female	BEB	SAS
HG03605	female	BEB	SAS
HG03606	male	BEB	SAS
HG03607	female	BEB	SAS
HG03611	female	BEB	SAS
HG03615	male	BEB	SAS
HG03616	female	BEB	SAS
HG03617	female	BEB	SAS
HG03618	male	PJL	SAS
HG03619	female	PJL	SAS
HG03620	female	PJL	SAS
HG03621	male	PJL	SAS
HG03624	male	PJL	SAS
HG03625	female	PJL	SAS
HG03626	female	PJL	SAS
HG03629	male	PJL	SAS
HG03631	female	PJL	SAS
HG03633	male	PJL	SAS
HG03634	female	PJL	SAS
HG03635	female	PJL	SAS
HG03636	male	PJL	SAS
HG03638	female	PJL	SAS
HG03639	male	PJL	SAS
HG03640	female	PJL	SAS
HG03641	male	PJL	SAS
HG03642	female	STU	SAS
HG03643	female	STU	SAS
HG03644	male	STU	SAS
HG03645	female	STU	SAS
HG03646	male	STU	SAS
HG03649	male	PJL	SAS
HG03650	female	PJL	SAS
HG03651	male	PJL	SAS
HG03652	male	PJL	SAS
HG03653	female	PJL	SAS
HG03654	male	PJL	SAS
HG03656	female	PJL	SAS
HG03657	male	PJL	SAS
HG03660	male	PJL	SAS
HG03663	male	PJL	SAS
HG03667	male	PJL	SAS
HG03668	female	PJL	SAS
HG03669	female	PJL	SAS
HG03672	male	STU	SAS
HG03673	female	STU	SAS
HG03679	male	STU	SAS
HG03680	male	STU	SAS
HG03681	male	STU	SAS
HG03682	male	STU	SAS
HG03683	female	STU	SAS
HG03684	female	STU	SAS
HG03685	male	STU	SAS
HG03686	male	STU	SAS
HG03687	male	STU	SAS
HG03688	male	STU	SAS
HG03689	female	STU	SAS
HG03690	female	STU	SAS
HG03691	male	STU	SAS
HG03692	female	STU	SAS
HG03693	male	STU	SAS
HG03694	male	STU	SAS
HG03695	male	STU	SAS
HG03696	male	STU	SAS
HG03697	male	STU	SAS
HG03698	female	STU	SAS
HG03699	male	PJL	SAS
HG03700	female	PJL	SAS
HG03701	male	PJL	SAS
HG03702	male	PJL	SAS
HG03703	female	PJL	SAS
HG03704	female	PJL	SAS
HG03705	male	PJL	SAS
HG03706	female	PJL	SAS
HG03707	male	PJL	SAS
HG03708	male	PJL	SAS
HG03709	female	PJL	SAS
HG03710	male	PJL	SAS
HG03711	male	STU	SAS
HG03713	male	ITU	SAS
HG03714	female	ITU	SAS
HG03716	male	ITU	SAS
HG03717	female	ITU	SAS
HG03718	male	ITU	SAS
HG03719	female	ITU	SAS
HG03720	male	ITU	SAS
HG03721	female	ITU	SAS
HG03722	female	ITU	SAS
HG03723	female	ITU	SAS
HG03725	male	ITU	SAS
HG03727	male	ITU	SAS
HG03729	male	ITU	SAS
HG03730	female	ITU	SAS
HG03731	female	ITU	SAS
HG03732	male	ITU	SAS
HG03733	female	STU	SAS
HG03736	female	STU	SAS
HG03738	male	STU	SAS
HG03740	male	STU	SAS
HG03741	female	STU	SAS
HG03742	male	ITU	SAS
HG03743	male	STU	SAS
HG03744	male	STU	SAS
HG03745	male	STU	SAS
HG03746	male	STU	SAS
HG03750	male	STU	SAS
HG03752	female	STU	SAS
HG03753	male	STU	SAS
HG03754	female	STU	SAS
HG03755	male	STU	SAS
HG03756	female	STU	SAS
HG03757	female	STU	SAS
HG03760	female	STU	SAS
HG03761	male	PJL	SAS
HG03762	female	PJL	SAS
HG03763	male	PJL	SAS
HG03765	female	PJL	SAS
HG03766	male	PJL	SAS
HG03767	male	PJL	SAS
HG03769	male	PJL	SAS
HG03770	female	ITU	SAS
HG03771	male	ITU	SAS
HG03772	female	ITU	SAS
HG03773	male	ITU	SAS
HG03774	female	ITU	SAS
HG03775	male	ITU	SAS
HG03777	male	ITU	SAS
HG03778	male	ITU	SAS
HG03779	male	ITU	SAS
HG03780	female	ITU	SAS
HG03781	female	ITU	SAS
HG03782	female	ITU	SAS
HG03783	male	ITU	SAS
HG03784	female	ITU	SAS
HG03785	male	ITU	SAS
HG03786	male	ITU	SAS
HG03787	female	ITU	SAS
HG03788	male	ITU	SAS
HG03789	female	ITU	SAS
HG03790	male	ITU	SAS
HG03792	male	ITU	SAS
HG03793	female	BEB	SAS
HG03794	male	BEB	SAS
HG03795	male	BEB	SAS
HG03796	female	BEB	SAS
HG03797	male	BEB	SAS
HG03798	male	BEB	SAS
HG03799	female	BEB	SAS
HG03800	male	BEB	SAS
HG03801	female	BEB	SAS
HG03802	female	BEB	SAS
HG03803	male	BEB	SAS
HG03804	female	BEB	SAS
HG03805	female	BEB	SAS
HG03806	male	BEB	SAS
HG03807	female	BEB	SAS
HG03808	female	BEB	SAS
HG03809	male	BEB	SAS
HG03811	female	BEB	SAS
HG03812	male	BEB	SAS
HG03813	female	BEB	SAS
HG03814	female	BEB	SAS
HG03815	male	BEB	SAS
HG03816	female	BEB	SAS
HG03817	female	BEB	SAS
HG03821	male	BEB	SAS
HG03822	male	BEB	SAS
HG03823	female	BEB	SAS
HG03824	male	BEB	SAS
HG03825	female	BEB	SAS
HG03826	female	BEB	SAS
HG03829	female	BEB	SAS
HG03830	male	BEB	SAS
HG03831	female	BEB	SAS
HG03832	female	BEB	SAS
HG03833	male	BEB	SAS
HG03834	female	BEB	SAS
HG03835	female	STU	SAS
HG03836	female	STU	SAS
HG03837	male	STU	SAS
HG03838	female	STU	SAS
HG03840	male	STU	SAS
HG03842	female	STU	SAS
HG03844	male	STU	SAS
HG03845	male	STU	SAS
HG03846	male	STU	SAS
HG03847	male	STU	SAS
HG03848	male	STU	SAS
HG03849	female	STU	SAS
HG03850	male	STU	SAS
HG03851	male	STU	SAS
HG03854	male	STU	SAS
HG03856	male	STU	SAS
HG03857	female	STU	SAS
HG03858	female	STU	SAS
HG03861	female	ITU	SAS
HG03862	female	ITU	SAS
HG03863	female	ITU	SAS
HG03864	male	ITU	SAS
HG03866	male	ITU	SAS
HG03867	male	ITU	SAS
HG03868	female	ITU	SAS
HG03869	male	ITU	SAS
HG03870	male	ITU	SAS
HG03871	male	ITU	SAS
HG03872	male	ITU	SAS
HG03873	female	ITU	SAS
HG03874	female	ITU	SAS
HG03875	male	ITU	SAS
HG03876	male	ITU	SAS
HG03879	male	ITU	SAS
HG03882	female	ITU	SAS
HG03884	female	STU	SAS
HG03885	male	STU	SAS
HG03886	female	STU	SAS
HG03887	male	STU	SAS
HG03888	female	STU	SAS
HG03890	male	STU	SAS
HG03894	female	STU	SAS
HG03895	female	STU	SAS
HG03896	male	STU	SAS
HG03897	female	STU	SAS
HG03898	female	STU	SAS
HG03899	male	STU	SAS
HG03900	male	STU	SAS
HG03901	female	BEB	SAS
HG03902	male	BEB	SAS
HG03903	female	BEB	SAS
HG03904	female	BEB	SAS
HG03905	male	BEB	SAS
HG03906	male	BEB	SAS
HG03907	female	BEB	SAS
HG03908	male	BEB	SAS
HG03909	male	BEB	SAS
HG03910	female	BEB	SAS
HG03911	male	BEB	SAS
HG03913	female	BEB	SAS
HG03914	male	BEB	SAS
HG03915	female	BEB	SAS
HG03916	female	BEB	SAS
HG03917	male	BEB	SAS
HG03919	female	BEB	SAS
HG03920	male	BEB	SAS
HG03922	female	BEB	SAS
HG03924	female	BEB	SAS
HG03925	female	BEB	SAS
HG03926	male	BEB	SAS
HG03927	female	BEB	SAS
HG03928	female	BEB	SAS
HG03929	male	BEB	SAS
HG03930	female	BEB	SAS
HG03931	female	BEB	SAS
HG03934	female	BEB	SAS
HG03937	female	BEB	SAS
HG03939	female	BEB	SAS
HG03940	female	BEB	SAS
HG03941	male	BEB	SAS
HG03942	male	BEB	SAS
HG03943	male	STU	SAS
HG03944	female	STU	SAS
HG03945	female	STU	SAS
HG03947	female	STU	SAS
HG03949	female	STU	SAS
HG03950	male	STU	SAS
HG03951	female	STU	SAS
HG03953	male	STU	SAS
HG03955	female	STU	SAS
HG03960	male	ITU	SAS
HG03963	male	ITU	SAS
HG03965	male	ITU	SAS
HG03967	male	ITU	SAS
HG03968	female	ITU	SAS
HG03969	male	ITU	SAS
HG03971	male	ITU	SAS
HG03972	female	ITU	SAS
HG03973	female	ITU	SAS
HG03974	male	ITU	SAS
HG03976	male	ITU	SAS
HG03977	female	ITU	SAS
HG03978	male	ITU	SAS
HG03982	male	STU	SAS
HG03985	male	STU	SAS
HG03986	female	STU	SAS
HG03988	male	STU	SAS
HG03989	female	STU	SAS
HG03990	male	STU	SAS
HG03991	male	STU	SAS
HG03992	male	STU	SAS
HG03995	female	STU	SAS
HG03998	male	STU	SAS
HG03999	male	STU	SAS
HG04001	female	ITU	SAS
HG04002	male	ITU	SAS
HG04003	male	STU	SAS
HG04006	male	STU	SAS
HG04014	female	ITU	SAS
HG04015	male	ITU	SAS
HG04017	male	ITU	SAS
HG04018	female	ITU	SAS
HG04019	male	ITU	SAS
HG04020	male	ITU	SAS
HG04022	male	ITU	SAS
HG04023	male	ITU	SAS
HG04024	female	ITU	SAS
HG04025	female	ITU	SAS
HG04026	female	ITU	SAS
HG04029	female	STU	SAS
HG04033	male	STU	SAS
HG04035	female	STU	SAS
HG04036	female	STU	SAS
HG04037	female	STU	SAS
HG04038	female	STU	SAS
HG04039	male	STU	SAS
HG04040	male	STU	SAS
HG04042	female	STU	SAS
HG04047	female	STU	SAS
HG04050	female	ITU	SAS
HG04053	male	ITU	SAS
HG04054	female	ITU	SAS
HG04055	male	ITU	SAS
HG04056	male	ITU	SAS
HG04058	male	ITU	SAS
HG04059	female	ITU	SAS
HG04060	male	ITU	SAS
HG04061	male	ITU	SAS
HG04062	female	ITU	SAS
HG04063	female	ITU	SAS
HG04067	female	STU	SAS
HG04070	female	ITU	SAS
HG04075	female	STU	SAS
HG04076	female	ITU	SAS
HG04080	male	ITU	SAS
HG04090	female	ITU	SAS
HG04093	male	ITU	SAS
HG04094	male	ITU	SAS
HG04096	male	ITU	SAS
HG04098	male	ITU	SAS
HG04099	female	STU	SAS
HG04100	male	STU	SAS
HG04106	female	STU	SAS
HG04107	male	STU	SAS
HG04114	male	STU	SAS
HG04115	male	STU	SAS
HG04118	female	ITU	SAS
HG04122	male	STU	SAS
HG04127	male	STU	SAS
HG04128	male	BEB	SAS
HG04131	male	BEB	SAS
HG04132	female	BEB	SAS
HG04133	female	BEB	SAS
HG04134	male	BEB	SAS
HG04135	female	BEB	SAS
HG04136	female	BEB	SAS
HG04140	male	BEB	SAS
HG04141	female	BEB	SAS
